player_display,first,last,suffix,position,nfl_team,name_key,source,adp_value,adp_min,adp_max,adp_n,as_of,adp_rank,adp_usable_for_survival
"Loveland, Colston",Colston,Loveland,,TE,CHI,colston loveland,NFFC,42.7,23,59,97,2026-08-31,43.0,True
"Etienne Jr., Travis",Travis,Etienne,JR,RB,NO,travis etienne,NFFC,43.09,25,57,97,2026-08-31,44.0,True
"Williams, Jameson",Jameson,Williams,,WR,DET,jameson williams,NFFC,47.42,37,69,97,2026-08-31,45.0,True
"Watson, Christian",Christian,Watson,,WR,GB,christian watson,NFFC,47.73,36,81,97,2026-08-31,46.0,True
"McLaurin, Terry",Terry,McLaurin,,WR,WAS,terry mclaurin,NFFC,48.56,33,69,97,2026-08-31,47.0,True
"Swift, D'Andre",D'Andre,Swift,,RB,CHI,dandre swift,NFFC,49.41,33,70,97,2026-08-31,48.0,True
"Washington, Parker",Parker,Washington,,WR,JAX,parker washington,NFFC,49.71,27,73,97,2026-08-31,49.0,True
"Jacobs, Josh",Josh,Jacobs,,RB,GB,josh jacobs,NFFC,49.99,28,71,97,2026-08-31,50.0,True
"Adams, Davante",Davante,Adams,,WR,LAR,davante adams,NFFC,50.23,32,80,97,2026-08-31,51.0,True
"Skattebo, Cam",Cam,Skattebo,,RB,NYG,cam skattebo,NFFC,51.22,34,68,97,2026-08-31,52.0,True
"Montgomery, David",David,Montgomery,,RB,HOU,david montgomery,NFFC,51.66,26,62,97,2026-08-31,53.0,True
"Odunze, Rome",Rome,Odunze,,WR,CHI,rome odunze,NFFC,52.25,40,78,97,2026-08-31,54.0,True
"Evans, Mike",Mike,Evans,,WR,SF,mike evans,NFFC,56.8,37,93,97,2026-08-31,55.0,True
"Warren, Tyler",Tyler,Warren,,TE,IND,tyler warren,NFFC,56.91,32,70,97,2026-08-31,56.0,True
"Tuten, Bhayshul",Bhayshul,Tuten,,RB,JAX,bhayshul tuten,NFFC,58.73,46,81,97,2026-08-31,57.0,True
"Judkins, Quinshon",Quinshon,Judkins,,RB,CLE,quinshon judkins,NFFC,58.96,41,79,97,2026-08-31,58.0,True
"Irving, Bucky",Bucky,Irving,,RB,TB,bucky irving,NFFC,60.24,41,83,97,2026-08-31,59.0,True
"Harrison Jr., Marvin",Marvin,Harrison,JR,WR,ARI,marvin harrison,NFFC,61.84,46,85,97,2026-08-31,60.0,True
"Price, Jadarian",Jadarian,Price,,RB,SEA,jadarian price,NFFC,62.29,48,90,97,2026-08-31,61.0,True
"Tate, Carnell",Carnell,Tate,,WR,TEN,carnell tate,NFFC,62.84,43,89,97,2026-08-31,62.0,True
"Henderson, TreVeyon",TreVeyon,Henderson,,RB,NE,treveyon henderson,NFFC,64.13,42,84,97,2026-08-31,63.0,True
"Burrow, Joe",Joe,Burrow,,QB,CIN,joe burrow,NFFC,65.9,8,108,97,2026-08-31,64.0,True
"Brooks, Jonathon",Jonathon,Brooks,,RB,CAR,jonathon brooks,NFFC,68.54,51,94,97,2026-08-31,65.0,True
"Thomas Jr., Brian",Brian,Thomas,JR,WR,JAX,brian thomas,NFFC,69.04,49,100,97,2026-08-31,66.0,True
"Maye, Drake",Drake,Maye,,QB,NE,drake maye,NFFC,69.27,11,101,97,2026-08-31,67.0,True
"Jackson, Lamar",Lamar,Jackson,,QB,BAL,lamar jackson,NFFC,69.41,13,110,97,2026-08-31,68.0,True
"Godwin Jr., Chris",Chris,Godwin,JR,WR,TB,chris godwin,NFFC,70.77,46,104,97,2026-08-31,69.0,True
"Sutton, Courtland",Courtland,Sutton,,WR,DEN,courtland sutton,NFFC,71.59,42,98,97,2026-08-31,70.0,True
"Stevenson, Rhamondre",Rhamondre,Stevenson,,RB,NE,rhamondre stevenson,NFFC,71.8,49,111,97,2026-08-31,71.0,True
"Metcalf, DK",DK,Metcalf,,WR,PIT,dk metcalf,NFFC,72.15,54,117,97,2026-08-31,72.0,True
"Warren, Jaylen",Jaylen,Warren,,RB,PIT,jaylen warren,NFFC,73.56,55,89,97,2026-08-31,73.0,True
"Wilson, Michael",Michael,Wilson,,WR,ARI,michael wilson,NFFC,75.34,52,104,97,2026-08-31,74.0,True
"Johnston, Quentin",Quentin,Johnston,,WR,LAC,quentin johnston,NFFC,75.65,58,110,97,2026-08-31,75.0,True
"Kraft, Tucker",Tucker,Kraft,,TE,GB,tucker kraft,NFFC,80.43,61,108,97,2026-08-31,76.0,True
"Pollard, Tony",Tony,Pollard,,RB,TEN,tony pollard,NFFC,80.91,50,115,97,2026-08-31,77.0,True
"Pitts Sr., Kyle",Kyle,Pitts,SR,TE,ATL,kyle pitts,NFFC,81.86,45,110,97,2026-08-31,78.0,True
"Corum, Blake",Blake,Corum,,RB,LAR,blake corum,NFFC,82.96,61,118,97,2026-08-31,79.0,True
"Downs, Josh",Josh,Downs,,WR,IND,josh downs,NFFC,85.16,66,119,97,2026-08-31,80.0,True
"Gainwell, Kenny",Kenny,Gainwell,,RB,TB,kenneth gainwell,NFFC,85.75,61,115,97,2026-08-31,81.0,True
"Pittman Jr., Michael",Michael,Pittman,JR,WR,PIT,michael pittman,NFFC,86.29,66,121,97,2026-08-31,82.0,True
"Harvey, RJ",RJ,Harvey,,RB,DEN,rj harvey,NFFC,86.74,66,115,97,2026-08-31,83.0,True
"Williams, Caleb",Caleb,Williams,,QB,CHI,caleb williams,NFFC,87.82,28,142,97,2026-08-31,84.0,True
"Stribling, De'Zhaun",De'Zhaun,Stribling,,WR,SF,dezhaun stribling,NFFC,89.41,46,150,97,2026-08-31,85.0,True
"Dowdle, Rico",Rico,Dowdle,,RB,PIT,rico dowdle,NFFC,90.8,69,120,97,2026-08-31,86.0,True
"Reed, Jayden",Jayden,Reed,,WR,GB,jayden reed,NFFC,91.0,47,126,97,2026-08-31,87.0,True
"Pierce, Alec",Alec,Pierce,,WR,IND,alec pierce,NFFC,91.78,71,154,97,2026-08-31,88.0,True
"Robinson, Wan'Dale",Wan'Dale,Robinson,,WR,TEN,wandale robinson,NFFC,91.82,62,128,97,2026-08-31,89.0,True
"Mason, Jordan",Jordan,Mason,,RB,MIN,jordan mason,NFFC,93.44,64,118,97,2026-08-31,90.0,True
"Herbert, Justin",Justin,Herbert,,QB,LAC,justin herbert,NFFC,94.02,40,144,97,2026-08-31,91.0,True
"Concepcion, KC",KC,Concepcion,,WR,CLE,kc concepcion,NFFC,94.21,61,138,97,2026-08-31,92.0,True
"Daniels, Jayden",Jayden,Daniels,,QB,WAS,jayden daniels,NFFC,94.64,46,144,97,2026-08-31,93.0,True
"Fannin Jr., Harold",Harold,Fannin,JR,TE,CLE,harold fannin,NFFC,94.7,76,126,97,2026-08-31,94.0,True
"Lawrence, Trevor",Trevor,Lawrence,,QB,JAX,trevor lawrence,NFFC,95.24,38,136,97,2026-08-31,95.0,True
"Diggs, Stefon",Stefon,Diggs,,WR,WAS,stefon diggs,NFFC,95.46,74,123,97,2026-08-31,96.0,True
"Prescott, Dak",Dak,Prescott,,QB,DAL,dak prescott,NFFC,95.86,29,137,97,2026-08-31,97.0,True
"Golden, Matthew",Matthew,Golden,,WR,GB,matthew golden,NFFC,96.6,72,138,97,2026-08-31,98.0,True
"Dobbins, J.K.",J.K.,Dobbins,,RB,DEN,jk dobbins,NFFC,98.99,67,135,96,2026-08-31,99.0,True
"LaPorta, Sam",Sam,LaPorta,,TE,DET,sam laporta,NFFC,99.52,68,125,97,2026-08-31,100.0,True
"Addison, Jordan",Jordan,Addison,,WR,MIN,jordan addison,NFFC,102.97,78,157,97,2026-08-31,101.0,True
"Lemon, Makai",Makai,Lemon,,WR,PHI,makai lemon,NFFC,103.22,69,153,96,2026-08-31,102.0,True
"Hurts, Jalen",Jalen,Hurts,,QB,PHI,jalen hurts,NFFC,104.7,38,151,97,2026-08-31,103.0,True
"Croskey-Merritt, Jacory",Jacory,Croskey-Merritt,,RB,WAS,jacory croskey merritt,NFFC,107.67,80,163,96,2026-08-31,104.0,True
"Doubs, Romeo",Romeo,Doubs,,WR,NE,romeo doubs,NFFC,108.78,89,146,97,2026-08-31,105.0,True
"Kittle, George",George,Kittle,,TE,SF,george kittle,NFFC,109.76,65,137,97,2026-08-31,106.0,True
"Hubbard, Chuba",Chuba,Hubbard,,RB,CAR,chuba hubbard,NFFC,109.9,72,148,96,2026-08-31,107.0,True
"Meyers, Jakobi",Jakobi,Meyers,,WR,JAX,jakobi meyers,NFFC,110.18,69,138,97,2026-08-31,108.0,True
"Stafford, Matthew",Matthew,Stafford,,QB,LAR,matthew stafford,NFFC,112.7,57,164,97,2026-08-31,109.0,True
"Kincaid, Dalton",Dalton,Kincaid,,TE,BUF,dalton kincaid,NFFC,112.79,92,151,97,2026-08-31,110.0,True
"White, Rachaad",Rachaad,White,,RB,WAS,rachaad white,NFFC,113.47,82,144,94,2026-08-31,111.0,True
"Worthy, Xavier",Xavier,Worthy,,WR,KC,xavier worthy,NFFC,117.13,76,173,96,2026-08-31,112.0,True
"Goff, Jared",Jared,Goff,,QB,DET,jared goff,NFFC,117.16,41,162,97,2026-08-31,113.0,True
"Washington Jr., Mike",Mike,Washington,JR,RB,LV,mike washington,NFFC,117.58,50,191,95,2026-08-31,114.0,True
"Coker, Jalen",Jalen,Coker,,WR,CAR,jalen coker,NFFC,117.79,89,163,97,2026-08-31,115.0,True
"Purdy, Brock",Brock,Purdy,,QB,SF,brock purdy,NFFC,118.1,58,156,97,2026-08-31,116.0,True
"Monangai, Kyle",Kyle,Monangai,,RB,CHI,kyle monangai,NFFC,118.54,83,149,95,2026-08-31,117.0,True
"Likely, Isaiah",Isaiah,Likely,,TE,NYG,isaiah likely,NFFC,119.85,79,146,97,2026-08-31,118.0,True
"Tyson, Jordyn",Jordyn,Tyson,,WR,NO,jordyn tyson,NFFC,122.96,72,187,92,2026-08-31,119.0,True
"Nix, Bo",Bo,Nix,,QB,DEN,bo nix,NFFC,123.72,57,170,97,2026-08-31,120.0,True
"Shakir, Khalil",Khalil,Shakir,,WR,BUF,khalil shakir,NFFC,126.44,94,162,97,2026-08-31,121.0,True
"Goedert, Dallas",Dallas,Goedert,,TE,PHI,dallas goedert,NFFC,126.61,88,153,97,2026-08-31,122.0,True
"Mahomes, Patrick",Patrick,Mahomes,,QB,KC,patrick mahomes,NFFC,126.72,71,170,97,2026-08-31,123.0,True
"Shaheed, Rashid",Rashid,Shaheed,,WR,SEA,rashid shaheed,NFFC,126.91,98,160,97,2026-08-31,124.0,True
"Kelce, Travis",Travis,Kelce,,TE,KC,travis kelce,NFFC,127.03,61,154,97,2026-08-31,125.0,True
"Lloyd, MarShawn",MarShawn,Lloyd,,RB,GB,marshawn lloyd,NFFC,127.1,89,189,94,2026-08-31,126.0,True
"Rodriguez Jr., Chris",Chris,Rodriguez,JR,RB,JAX,chris rodriguez,NFFC,127.43,95,152,95,2026-08-31,127.0,True
"Dart, Jaxson",Jaxson,Dart,,QB,NYG,jaxson dart,NFFC,127.88,66,176,97,2026-08-31,128.0,True
"Allgeier, Tyler",Tyler,Allgeier,,RB,ARI,tyler allgeier,NFFC,128.24,87,167,97,2026-08-31,129.0,True
"Mitchell, Keaton",Keaton,Mitchell,,RB,LAC,keaton mitchell,NFFC,129.97,96,164,93,2026-08-31,130.0,True
"Marks, Woody",Woody,Marks,,RB,HOU,woody marks,NFFC,130.09,97,159,94,2026-08-31,131.0,True
"Samuel Sr., Deebo",Deebo,Samuel,SR,WR,SF,deebo samuel,NFFC,130.41,85,168,97,2026-08-31,132.0,True
"Ferguson, Jake",Jake,Ferguson,,TE,DAL,jake ferguson,NFFC,130.97,81,173,97,2026-08-31,133.0,True
"Coleman, Jonah",Jonah,Coleman,,RB,DEN,jonah coleman,NFFC,132.57,98,173,93,2026-08-31,134.0,True
"Jones Sr., Aaron",Aaron,Jones,SR,RB,MIN,aaron jones,NFFC,136.93,98,167,93,2026-08-31,135.0,True
"Mayfield, Baker",Baker,Mayfield,,QB,TB,baker mayfield,NFFC,139.44,70,202,97,2026-08-31,136.0,True
"Boston, Denzel",Denzel,Boston,,WR,CLE,denzel boston,NFFC,140.46,98,204,94,2026-08-31,137.0,True
"Andrews, Mark",Mark,Andrews,,TE,BAL,mark andrews,NFFC,142.13,117,174,96,2026-08-31,138.0,True
"Murray, Kyler",Kyler,Murray,,QB,MIN,kyler murray,NFFC,142.58,65,203,97,2026-08-31,139.0,True
"Love, Jordan",Jordan,Love,,QB,GB,jordan love,NFFC,145.7,75,218,97,2026-08-31,140.0,True
"Spears, Tyjae",Tyjae,Spears,,RB,TEN,tyjae spears,NFFC,149.08,116,179,93,2026-08-31,141.0,True
"Shough, Tyler",Tyler,Shough,,QB,NO,tyler shough,NFFC,149.25,88,203,97,2026-08-31,142.0,True
"Johnson, Juwan",Juwan,Johnson,,TE,NO,juwan johnson,NFFC,149.59,120,187,96,2026-08-31,143.0,True
"Charbonnet, Zach",Zach,Charbonnet,,RB,SEA,zach charbonnet,NFFC,153.15,115,197,92,2026-08-31,144.0,True
"Bigsby, Tank",Tank,Bigsby,,RB,PHI,tank bigsby,NFFC,153.73,100,197,92,2026-08-31,145.0,True
"Harris, Tre'",Tre',Harris,,WR,LAC,tre harris,NFFC,155.62,106,221,93,2026-08-31,146.0,True
"Sampson, Dylan",Dylan,Sampson,,RB,CLE,dylan sampson,NFFC,156.19,118,189,92,2026-08-31,147.0,True
"Nailor, Jalen",Jalen,Nailor,,WR,LV,jalen nailor,NFFC,156.33,104,212,95,2026-08-31,148.0,True
"Tucker, Tre",Tre,Tucker,,WR,LV,tre tucker,NFFC,156.73,121,190,95,2026-08-31,149.0,True
"Tracy Jr., Tyrone",Tyrone,Tracy,JR,RB,NYG,tyrone tracy,NFFC,157.06,110,210,93,2026-08-31,150.0,True
"Allen, Cyrus",Cyrus,Allen,,WR,KC,cyrus allen,NFFC,158.06,89,251,92,2026-08-31,151.0,True
"Ferguson, Terrance",Terrance,Ferguson,,TE,LAR,terrance ferguson,NFFC,158.84,119,225,92,2026-08-31,152.0,True
"Lane, Ja'Kobi",Ja'Kobi,Lane,,WR,BAL,jakobi lane,NFFC,158.87,113,221,94,2026-08-31,153.0,True
"McMillan, Jalen",Jalen,McMillan,,WR,TB,jalen mcmillan,NFFC,159.65,109,247,92,2026-08-31,154.0,True
"Willis, Malik",Malik,Willis,,QB,MIA,malik willis,NFFC,162.42,74,224,96,2026-08-31,155.0,True
"Johnson, Emmett",Emmett,Johnson,,RB,KC,emmett johnson,NFFC,163.14,134,202,92,2026-08-31,156.0,True
"Strange, Brenton",Brenton,Strange,,TE,JAX,brenton strange,NFFC,163.38,112,197,93,2026-08-31,157.0,True
"Wicks, Dontayvion",Dontayvion,Wicks,,WR,PHI,dontayvion wicks,NFFC,167.9,111,225,93,2026-08-31,158.0,True
"Mitchell, Adonai",Adonai,Mitchell,,WR,NYJ,adonai mitchell,NFFC,170.31,111,216,94,2026-08-31,159.0,True
"Davis, Ray",Ray,Davis,,RB,BUF,ray davis,NFFC,170.93,129,209,92,2026-08-31,160.0,True
"Flournoy, Ryan",Ryan,Flournoy,,WR,DAL,ryan flournoy,NFFC,171.7,126,243,93,2026-08-31,161.0,True
"Okonkwo, Chig",Chig,Okonkwo,,TE,WAS,chigoziem okonkwo,NFFC,171.86,124,213,92,2026-08-31,162.0,True
"Black, Kaelon",Kaelon,Black,,RB,SF,kaelon black,NFFC,172.74,114,245,92,2026-08-31,163.0,True
"Washington, Malik",Malik,Washington,,WR,MIA,malik washington,NFFC,173.43,103,222,94,2026-08-31,164.0,True
"Robinson, Brian",Brian,Robinson,,RB,ATL,brian robinson,NFFC,173.98,131,209,92,2026-08-31,165.0,True
"Darnold, Sam",Sam,Darnold,,QB,SEA,sam darnold,NFFC,174.18,56,236,92,2026-08-31,166.0,True
"Allen, Keenan",Keenan,Allen,,WR,IND,keenan allen,NFFC,175.84,101,259,92,2026-08-31,167.0,True
"Allen, Braelon",Braelon,Allen,,RB,NYJ,braelon allen,NFFC,176.05,121,224,92,2026-08-31,168.0,True
"Jennings, Jauan",Jauan,Jennings,,WR,MIN,jauan jennings,NFFC,176.19,110,238,93,2026-08-31,169.0,True
"Boutte, Kayshon",Kayshon,Boutte,,WR,HOU,kayshon boutte,NFFC,178.37,99,257,92,2026-08-31,170.0,True
"Pacheco, Isiah",Isiah,Pacheco,,RB,DET,isiah pacheco,NFFC,178.39,130,230,92,2026-08-31,171.0,True
"Blue, Jaydon",Jaydon,Blue,,RB,DAL,jaydon blue,NFFC,183.04,135,232,92,2026-08-31,172.0,True
"Bryant, Pat",Pat,Bryant,,WR,DEN,pat bryant,NFFC,183.41,129,272,92,2026-08-31,173.0,True
"Jones, Daniel",Daniel,Jones,,QB,IND,daniel jones,NFFC,183.45,107,238,88,2026-08-31,174.0,True
"Henry, Hunter",Hunter,Henry,,TE,NE,hunter henry,NFFC,183.59,122,237,92,2026-08-31,175.0,True
"Schultz, Dalton",Dalton,Schultz,,TE,HOU,dalton schultz,NFFC,185.16,139,232,93,2026-08-31,176.0,True
"Douglas, Caleb",Caleb,Douglas,,WR,MIA,caleb douglas,NFFC,185.26,112,256,93,2026-08-31,177.0,True
"Jeudy, Jerry",Jerry,Jeudy,,WR,CLE,jerry jeudy,NFFC,190.9,138,232,93,2026-08-31,178.0,True
"Fields, Malachi",Malachi,Fields,,WR,NYG,malachi fields,NFFC,191.59,30,259,92,2026-08-31,179.0,True
"Vidal, Kimani",Kimani,Vidal,,RB,LAC,kimani vidal,NFFC,191.77,119,254,91,2026-08-31,180.0,True
"Allen, Kaytron",Kaytron,Allen,,RB,WAS,kaytron allen,NFFC,192.2,121,275,92,2026-08-31,181.0,True
"Kamara, Alvin",Alvin,Kamara,,RB,NO,alvin kamara,NFFC,196.13,137,293,90,2026-08-31,182.0,True
"Gadsden, Oronde",Oronde,Gadsden,,TE,LAC,oronde gadsden,NFFC,197.33,124,239,79,2026-08-31,183.0,True
"Stroud, C.J.",C.J.,Stroud,,QB,HOU,cj stroud,NFFC,199.48,108,240,61,2026-08-31,184.0,True
"TeSlaa, Isaac",Isaac,TeSlaa,,WR,DET,isaac teslaa,NFFC,200.37,139,267,89,2026-08-31,185.0,True
"Dell, Tank",Tank,Dell,,WR,HOU,tank dell,NFFC,200.8,119,331,88,2026-08-31,186.0,True
"Ward, Cam",Cam,Ward,,QB,TEN,cameron ward,NFFC,204.02,113,237,57,2026-08-31,187.0,True
"Cooper Jr., Omar",Omar,Cooper,JR,WR,NYJ,omar cooper,NFFC,205.1,141,289,82,2026-08-31,188.0,True
"Claiborne, Demond",Demond,Claiborne,,RB,MIN,demond claiborne,NFFC,206.02,156,296,90,2026-08-31,189.0,True
"Singleton, Nicholas",Nicholas,Singleton,,RB,TEN,nicholas singleton,NFFC,206.99,139,262,87,2026-08-31,190.0,True
"Hockenson, T.J.",T.J.,Hockenson,,TE,MIN,tj hockenson,NFFC,207.8,156,240,75,2026-08-31,191.0,True
"Holani, George",George,Holani,,RB,SEA,george holani,NFFC,208.13,131,296,90,2026-08-31,192.0,True
"Barner, AJ",AJ,Barner,,TE,SEA,aj barner,NFFC,209.75,162,240,82,2026-08-31,193.0,True
"Sadiq, Kenyon",Kenyon,Sadiq,,TE,NYJ,kenyon sadiq,NFFC,210.52,152,246,74,2026-08-31,194.0,True
"Hunter, Travis",Travis,Hunter,,WR,JAX,travis hunter,NFFC,211.1,111,282,84,2026-08-31,195.0,True
"Branch, Zachariah",Zachariah,Branch,,WR,ATL,zachariah branch,NFFC,213.85,166,278,85,2026-08-31,196.0,True
"Brissett, Jacoby",Jacoby,Brissett,,QB,ARI,jacoby brissett,NFFC,214.51,132,240,45,2026-08-31,197.0,True
"Dulcich, Greg",Greg,Dulcich,,TE,MIA,greg dulcich,NFFC,216.91,170,239,69,2026-08-31,198.0,True
"Young, Bryce",Bryce,Young,,QB,CAR,bryce young,NFFC,217.93,118,231,29,2026-08-31,199.0,True
"Harris, Najee",Najee,Harris,,RB,NYG,najee harris,NFFC,218.85,144,352,87,2026-08-31,200.0,True
"Bell, Chris",Chris,Bell,,WR,MIA,chris bell,NFFC,219.05,141,326,86,2026-08-31,201.0,True
"Tucker, Sean",Sean,Tucker,,RB,TB,sean tucker,NFFC,219.3,115,309,82,2026-08-31,202.0,True
"Vele, Devaughn",Devaughn,Vele,,WR,NO,devaughn vele,NFFC,219.79,141,311,87,2026-08-31,203.0,True
"Rodgers, Aaron",Aaron,Rodgers,,QB,PIT,aaron rodgers,NFFC,222.89,142,234,28,2026-08-31,204.0,True
"Smith, Geno",Geno,Smith,,QB,NYJ,geno smith,NFFC,224.58,145,239,29,2026-08-31,205.0,True
"Hill, Justice",Justice,Hill,,RB,BAL,justice hill,NFFC,224.92,176,283,78,2026-08-31,206.0,True
"Williams, Antonio",Antonio,Williams,,WR,WAS,antonio williams,NFFC,225.06,174,299,65,2026-08-31,207.0,True
"Noel, Jaylin",Jaylin,Noel,,WR,HOU,jaylin noel,NFFC,225.35,134,345,82,2026-08-31,208.0,True
"Hurst III, Ted",Ted,Hurst,III,WR,TB,ted hurst,NFFC,225.63,164,308,79,2026-08-31,209.0,True
"James, Jordan",Jordan,James,,RB,SF,jordan james,NFFC,225.98,163,307,85,2026-08-31,210.0,True
"Wright, Jaylen",Jaylen,Wright,,RB,MIA,jaylen wright,NFFC,226.35,166,312,75,2026-08-31,211.0,True
"Kupp, Cooper",Cooper,Kupp,,WR,SEA,cooper kupp,NFFC,226.78,149,296,74,2026-08-31,212.0,True
"Mendoza, Fernando",Fernando,Mendoza,,QB,LV,fernando mendoza,NFFC,227.96,152,272,28,2026-08-31,213.0,True
"Ridley, Calvin",Calvin,Ridley,,WR,TEN,calvin ridley,NFFC,230.14,162,345,66,2026-08-31,214.0,True
"Helm, Gunnar",Gunnar,Helm,,TE,TEN,gunnar helm,NFFC,230.37,186,247,44,2026-08-31,215.0,True
"McGowan, Seth",Seth,McGowan,,RB,IND,seth mcgowan,NFFC,231.12,168,355,82,2026-08-31,216.0,True
"Franklin, Troy",Troy,Franklin,,WR,DEN,troy franklin,NFFC,232.39,123,308,48,2026-08-31,217.0,True
"Otton, Cade",Cade,Otton,,TE,TB,cade otton,NFFC,234.0,173,294,34,2026-08-31,218.0,True
"Tagovailoa, Tua",Tua,Tagovailoa,,QB,ATL,tua tagovailoa,NFFC,234.65,151,352,27,2026-08-31,219.0,True
